"id";"nm";"yandex";"google"
0;"<По умолчанию>";"lr=213";"cr=CountryRu"
1;"Москва";"lr=213";"cr=CountryRu"
2;"Воскресенск";"lr=10722";"cr=CountryRu"
3;"Санкт-Петербург";"lr=2";"cr=CountryRu"
5;"Котсрома";"lr=7";"cr=CountryRu"
8;"<НЕТ>";"";""
